callsign,route
SPMOC   ,EPKP_EPKP
VIR141  ,EGLL_KLAX
UAL935  ,EGLL_KLAX
UAL230  ,EGLL_KLAX
RYR100T ,EGNX_EGNX
VIR23X  ,EGLL_KLAX
PH1483  ,EHTE_EHTE
SPSMC   ,EPPO_EPPO
SI338   ,LGTT_LGTT
ECOCG   ,LEBG_LEBG
OEXDC   ,LOWS_LOWS
AAL90   ,KORD_EGLL
UAL923  ,KLAX_EGLL
JUMPER1 ,LOWG_LOWG
ZXP06   ,EHAM_EHAM
SPSMD   ,EPPO_EPPO
VIR142  ,KLAX_EGLL
HB1669  ,LSZX_LSZX
FHVPC   ,LFRV_LFRV
NBT30T  ,KJFK_LFPG
NBT30G  ,LFPG_KJFK
BAW105  ,EGLL_OMDB
GLDGG   ,EGTK_EGTK
BAW107  ,EGLL_OMDB
SPSME   ,EPPO_EPPO
UAL231  ,KLAX_EGLL
AAL98   ,KORD_EGLL
AAL86   ,KORD_EGLL
SPSMV   ,EPPO_EPPO
GIIGB   ,EGDM_EGDM
PHKFQ   ,EHGG_EHGG
ZXP04   ,EHAM_EHAM
VIR24M  ,KLAX_EGLL
DLZNT   ,EDNY_EDNY
PH957   ,EHTE_EHTE
GLDGH   ,EGTK_EGTK
SPSMZ   ,EPPO_EPPO
BAW298  ,KORD_EGLL
DMMBF   ,EDKB_EDKB
GBOTG   ,EGNX_EGNX
ECOCF   ,LEBG_LEBG
NCG01   ,EHAM_EHAM
SD1     ,LOXN_LOXN
AAL46   ,KORD_EGLL
DLZFN   ,EDNY_EDNY
SI344   ,LGTT_LGTT
PHKFT   ,EHGG_EHGG
S5DOT   ,LJPZ_LJPZ
SI348   ,LGTT_LGTT
ZXP24   ,EHAM_EHAM
SMK710  ,UG11_UG11
OYFFG   ,EKRK_EKRK
GCMRC   ,EGTR_EGTR
UAD47   ,EGDM_EGDM
PHZVD   ,EHLE_EHLE
ZXP02   ,EHAM_EHAM
PH1469  ,EHTE_EHTE
FHGTD   ,LFMA_LFMA
HB3473  ,LSZI_LSZI
HB3205  ,LSZO_LSZO
SMK702  ,UG11_UG11
PH1693  ,EHTL_EHTL
GCDTX   ,EGTR_EGTR
HBKGN   ,LSZB_LSZB
DEHKP   ,EDWN_EDWN
OEALP   ,LOGG_LOGG
PH712   ,EHTW_EHTW
SMK704  ,UG11_UG11
DESSC   ,EDNY_EDNY
PH1348  ,EHDB_EHDB
PHKFZ   ,EHGG_EHGG
GBMPC   ,EGNX_EGNX
DEIJH   ,EDWN_EDWN
SI336   ,LGTT_LGTT
DEMPY   ,EDNY_EDNY
ETD75F  ,EHAM_EGLL
UKP155  ,EGNX_EGNX
BAW104  ,OMDB_EGLL
DMHLG   ,EDQX_EDQX
OYFFJ   ,EKRK_EKRK
NHZ31   ,EGNH_EGNH
SYERSTON,EGXY_EGXY
PHHLC   ,EHLE_EHLE
PHZVE   ,EHLE_EHLE
AAL100  ,KJFK_EGLL
HB1839  ,LSZX_LSZX
PHBAC   ,EHSE_EHSE
HB3472  ,LSZI_LSZI
D8338   ,EHTW_EHTW
HBPKK   ,LSZB_LSZB
AEA49MC ,EHAM_LEMD
SPEGR   ,EPKP_EPKP
OYFFK   ,EKRK_EKRK
SI346   ,LGTT_LGTT
DFSCM   ,EDLT_EDLT
BAW14K  ,KJFK_EGLL
FHV02   ,EKRK_EKRK
GWARS   ,EGTR_EGTR
SPSUT   ,EPGL_EPGL
GCDMX   ,EGBJ_EGBJ
HBFKL   ,LSZV_LSZV
PH1280  ,EHDB_EHDB
JBU7    ,KJFK_EGLL
PH1207  ,EHTW_EHTW
KLM7930 ,EHGG_EHGG
PHKFP   ,EHGG_EHGG
GUANT   ,EGNH_EGNH
AEA072  ,LEMD_LEMD
HBFWU   ,LSZC_LSZC
GBELT   ,EGNH_EGNH
IDADM   ,LIRU_LIRU
VLG1AA  ,LEBL_EGKK
FGIJO   ,LFPN_LFPN
TAP1356 ,LPPT_EGLL
DMEML   ,EDKB_EDKB
DEOLU   ,EDQX_EDQX
PH1521  ,EHTL_EHTL
GOLEA   ,EGTR_EGTR
PHIFR   ,EHLE_EHLE
HBKGO   ,LSZB_LSZB
OECRA   ,LOGG_LOGG
NCKL10  ,EGUB_EGUB
EIN1XT  ,EIDW_EGLL
IBIS3   ,EDFE_EDFE
FHDSA   ,LFRV_LFRV
PH980   ,EHDP_EHDP
VLG7822 ,LEBL_EGKK
SPMSSM  ,EPWS_EPWS
BAW18A  ,KJFK_EGLL
DEBPN   ,EDFM_EDFM
PH798   ,EHTW_EHTW
PH1119  ,EHTE_EHTE
GCIRW   ,EGNH_EGNH
EIN154  ,EIDW_EGLL
SPKOG   ,EPBC_EPBC
VLG414J ,LEBL_EGKK
VIR138M ,KJFK_EGLL
HBKGI   ,LSZL_LSZL
OHDTA   ,EFTP_EFTP
BAW499C ,LPPT_EGLL
DLH6VR  ,EDDM_EGLL
DLH902  ,EDDF_EGLL
DFSRT   ,EDLM_EDLM
FHAKM   ,LFMA_LFMA
GBPBJ   ,EGCL_EGCL
OXF33T  ,EGTK_EGTK
PHBAN   ,EHSE_EHSE
DLH904  ,EDDF_EGLL
DEEAX   ,EDFE_EDFE
OHCJM   ,EDFE_EDFE
EAX1H   ,LELL_LELL
DEPMS   ,EDRB_EDRB
DFALL   ,EDVM_EDVM
PHTGM   ,EHTE_EHTE
GFBPS   ,EG32_EG32
DLH900  ,EDDF_EGLL
GSAOC   ,EGWN_EGWN
DLH2ME  ,EDDF_EGLL
PHBAE   ,EHSE_EHSE
BAW831S ,EIDW_EGLL
GBNZZ   ,EGCJ_EGCJ
VIR154  ,KJFK_EGLL
PH1635  ,EHDB_EHDB
ETH713  ,LEMD_LIRF
PH1661  ,EHWO_EHWO
GGZDO   ,EGTR_EGTR
VIR46K  ,KJFK_EGLL
OKLIO   ,LKHK_LKHK
EIN156  ,EIDW_EGLL
RVR47T  ,EGGP_EGGP
PH1551  ,EHDB_EHDB
DLH5RP  ,EDDF_EGLL
VLG8EK  ,LEBL_EGKK
HBVXB   ,LSZC_LSZC
DFLLY   ,EPGL_EPGL
PH876   ,EHTE_EHTE
DAL3    ,KJFK_EGLL
PH974   ,EHTL_EHTL
UAU41   ,EGDM_EGDM
HBKGH   ,LSZL_LSZL
RBA98   ,EGLL_OMDB
KQA101  ,EGLL_KJFK
ETD11B  ,EGLL_KJFK
HBZWF   ,LSZB_LSZB
CSN303  ,OMDB_EGLL
FGSAT   ,LIPN_LIPN
AEA1091 ,LEMD_EHAM
BAW8DS  ,KLAX_EGLL
VLG49HR ,LEBL_EGKK
GFOXP   ,EG32_EG32
SPTIR   ,EPBC_EPBC
EAX1L   ,LELL_LELL
KLM7915 ,EHGG_EHGG
VIR4C   ,KJFK_EGLL
BAW28F  ,KLAX_EGLL
DFALB   ,EBSP_EBSP
PH1384  ,EHWO_EHWO
