route,samples
KJFK_EGLL,105691
EHAM_EHAM,89372
LELL_LELL,85644
EGOS_EGOS,82168
EIDW_EGLL,78371
KLAX_EGLL,77441
EGLL_KLAX,76589
KORD_EGLL,73241
EPPO_EPPO,69696
EHTE_EHTE,67216
LEBG_LEBG,67171
LGTT_LGTT,64663
EDDF_EGLL,64186
LEBL_EGKK,61168
LEMD_LEMD,60788
EGLL_KJFK,59731
EHGG_EHGG,57909
EGNX_EGNX,54269
LSZB_LSZB,53956
EGTR_EGTR,53770
EGDM_EGDM,53379
EKRK_EKRK,53167
EHAM_EGLL,52413
EDDM_EGLL,52187
EGTK_EGTK,46897
EDFE_EDFE,46138
EDKB_EDKB,45344
EGYD_EGYD,44446
LFPG_EGLL,41967
EGLL_OMDB,41551
KJFK_LFPG,41403
LFPG_KJFK,41324
LSZH_EGLL,41260
EGPH_EGLL,40642
LSZL_LSZL,39645
LPPT_EGLL,39610
LEMD_LIRF,39376
LEMG_EGKK,39246
EHLE_EHLE,39170
LPFR_EGKK,38641
LSGG_EGLL,38057
EDNY_EDNY,37595
EHDB_EHDB,37216
LIRF_LEMD,37060
LEBL_EHAM,35801
LSZX_LSZX,35018
EGNH_EGNH,34749
LKPD_LKPD,34276
EGBJ_EGBJ,34082
EGCB_EGCB,33946
EHTL_EHTL,33939
EDDL_LEPA,33868
OMDB_EGLL,33801
LFPO_LPPT,33777
LOWG_LOWG,32944
EKCH_EGLL,32677
ENGM_ENVA,32614
EGLL_EDDF,31859
LEPA_EDDL,31720
EHAM_LEBL,30957
EGLL_EDDM,30839
EGKK_LEBL,30441
LPPT_LFPO,30415
EPKP_EPKP,29916
LIRF_LICZ,29401
EGNV_EGNV,29322
LFPN_LFPN,29320
LEMD_LPPT,28733
EKCH_ENGM,28683
LEBL_LFPG,28463
EGLM_EGLM,28324
EGLL_EIDW,28254
EGLL_LPPT,28059
LOWS_LOWS,27858
LEBL_LIRF,26936
ENVA_ENGM,26871
EKCH_ESSA,26682
EHAM_EKCH,26669
LFMA_LFMA,26638
EHAM_LPPT,26590
EGLL_EHAM,26227
EHTW_EHTW,26124
ENGM_EKCH,25793
EPBC_EPBC,25493
LFPG_LEBL,25296
EHAM_EIDW,25253
EGUB_EGUB,25248
LSZC_LSZC,25084
